S. No.,Name of State / UT,Active Cases,Cured/Discharged/Migrated,Deaths,Total Confirmed cases
1,Andaman and Nicobar,274,6417,98,6789
2,Andhra Pradesh,209156,1323019,9904,1542079
3,Arunachal Pradesh,2916,20545,92,23553
4,Assam,54163,302889,2588,359640
5,Bihar,49312,627548,4339,681199
6,Chandigarh,5675,51382,680,57737
7,Chhattisgarh,76446,852529,12391,941366
8,Dadra and Nagar Haveli and Daman and Diu,607,9269,4,9880
9,Delhi,35683,1354445,22831,1412959
10,Goa,19328,121562,2302,143192
11,Gujarat,84421,686581,9469,780471
12,Haryana,54397,666893,7317,728607
13,Himachal Pradesh,31519,141213,2652,175384
14,Jammu and Kashmir,49893,210547,3465,263905
15,Jharkhand,24499,297776,4760,327035
16,Karnataka,514259,1829276,24207,2367742
17,Kerala,306719,1979919,6994,2293632
18,Ladakh,1599,15374,173,17146
19,Lakshadweep,1828,4251,22,6101
20,Maharashtra,369673,5070801,86618,5527092
21,Manipur,6298,35606,661,42565
22,Meghalaya,6861,20480,414,27755
23,Mizoram,2473,7521,30,10024
24,Madhya Pradesh,67625,682100,7394,757119
25,Nagaland,4588,14747,258,19593
26,Odisha,98610,567382,2430,668422
27,Puducherry,17936,73936,1295,93167
28,Punjab,63470,452318,12888,528676
29,Rajasthan,131806,764137,7475,903418
30,Sikkim,3175,9126,220,12521
31,Tamil Nadu,274629,1476761,19598,1770988
32,Telengana,44395,500247,3085,547727
33,Tripura,7337,37429,457,45223
34,Uttar Pradesh,106276,1534176,18760,1659212
35,Uttarakhand,63373,238593,5600,307566
36,West Bengal,132181,1083570,14054,1229805
